Name,Old_price,New_price,Discount,Rating
1.5m Mini Condenser Clip-on Lapel Mic (8PIN),"₦ 9,499","₦ 7,499",21%, 
Walkie Talkie Heaphones 2 Pin Covert Acoustic Tube Earpiece,"₦ 7,810","₦ 4,110",47%,4.3 out of 5
K9 Dual Mic Wireless Lavalier Microphone For IPhone & Type C,"₦ 20,000","₦ 15,500",23%,3.7 out of 5
Sunfit 75AH AGM Inverter Battery - German-Technology,"₦ 180,000","₦ 105,000",42%,4.2 out of 5
Portable Mini Clip USB MP3 Player Music Media Support Micro SD TF Card Hifi Black,"₦ 3,589","₦ 2,623",27%,3.6 out of 5
Bluetooth Home Theater System Promo Sale,"₦ 100,000","₦ 80,000",20%,4.8 out of 5
Ringlight LED 18 Inches 45cm - Ring Light Stand(EXTRA LARGE 45CM),"₦ 145,650","₦ 46,500",68%,4.6 out of 5
Portable Glass Double Wall Shelf With TV Hanger 14-42',"₦ 15,900","₦ 10,000",37%,4.4 out of 5
Solar Powered 4G Simcard PTZ CCTV Wireless Camera,"₦ 180,000","₦ 120,000",33%,5 out of 5
Koleer Better Sound Quality Portable Bluetooth Loud Speaker -s819,"₦ 45,000","₦ 20,900",54%,4 out of 5
Powerful 3.1Bluetooth Home Theatre System + DVD Player,"₦ 100,000","₦ 87,999",12%,4.2 out of 5
Triple Camera RC Professional Drone Brushless 4CH RC Foldable Quadcopter Obstacle Avoidance, ,"₦ 94,999", ,3 out of 5
Latest Smart Artificial Intelligence Face Tracking 3-Axis 360⁰ Rotation Phone Foldable Gimbal With Stand And Sensor Fill Light, ,"₦ 150,000", , 
HIGHER RESOLUTION BRIGHTNESS PROJECTOR,"₦ 250,000","₦ 160,000",36%,4.4 out of 5
USB To DC Boost Converter Cable 5V To 9V 12V  Use With Power Bank To Power Internet Routers Led Display,"₦ 7,500","₦ 6,900",8%,4.3 out of 5
"Multifunctional Bluetooth Speaker, EU Plug","₦ 221,928","₦ 155,350",30%, 
Type C Wired Earphone In-Ear Noise Headphones,"₦ 9,499","₦ 6,999",26%,3 out of 5
Pocket Clip-on LED Video Light Computer Tablet Mobile Phone,"₦ 45,740","₦ 24,070",47%,4.3 out of 5
"Underground Treasure Hunt, Metal Detector, Bounty Hunter","₦ 38,000","₦ 36,800",3%,4 out of 5
